id;street;city;zip_code;created_at
1;Boulevard de la Bûcherie;Champigny-sur-Marne;14714;2024-04-19T18:42:14
2;Quai de Nesle;Cayenne;61029;2024-04-19T13:34:50
3;Boulevard de Paris;Versailles;88425;2024-04-19T20:36:13
4;Allée Lepic;Levallois-Perret;30082;2024-04-20T00:16:58
5;Rue de Rivoli;Quimper;92365;2024-04-19T23:07:11
6;Passage d'Orsel;Valence;11461;2024-04-20T01:27:15
7;Rue Lepic;Sarcelles;74435;2024-04-19T13:47:24
8;Impasse Saint-Honoré;Mérignac;33001;2024-04-20T00:07:39
9;Place Bonaparte;Saint-Maur-des-Fossés;04427;2024-04-20T00:52:13
10;Passage de Tilsitt;Saint-Étienne;37968;2024-04-20T06:59:19
