id;user_name;first_name;last_name;business_name;birth_date;acount_type;identifier_type;identifier_value;employers_reported;income;expenses;gross_profit;net_profit_margin;debts_obligations;enabled;role;created_at
1;moderne;Loup;Jean;aligner turquoise;2024-04-19T17:58:46;CORPORATION;PASSPORT;à condition que ding alentour;élever patientèle;aussitôt miam;adversaire quand après;passer avex égoïste;prou comme;détourner;true;CUSTOMER;2024-04-20T10:00:31
2;pour au-dedans de;Romuald;Francois;âcre bon calculer;2024-04-19T23:33:27;CORPORATION;TAX_REGISTRATION;commissionnaire communauté étudiante puisque;dès que assez autour;grâce à guide ding;crac au prix de;calme;commissionnaire;rectorat snif jusque;false;ADMIN;2024-04-19T13:45:36
3;vroum devant divinement;Athanase;Paul;certes dring égoïste;2024-04-20T07:59:14;CORPORATION;TAX_REGISTRATION;au-devant totalement miaou;dresser absorber hormis;abandonner;atchoum boum;jusque désormais;engager deçà main-d’œuvre;dessus par suite de quasiment;false;COMMERCANT;2024-04-19T22:30:25
4;déshabiller diablement infiniment;Liétald;Charpentier;oups calme amorphe;2024-04-20T07:41:21;CORPORATION;CIN;mal timide sitôt que;isoler au prix de collègue;badaboum;édifier camper;surprendre areu areu;insolite;après-demain plancher agréable;false;COMMERCANT;2024-04-20T04:40:51
5;partout en bas de blablabla;Camille;Dumas;électorat immense tôt;2024-04-20T04:43:34;PHYSICAL_PERSON;TAX_REGISTRATION;chez;carrément;charitable;contrarier sursauter davantage;hypocrite personnel;d’autant que vétuste à la merci;de manière à ce que franchir;false;CUSTOMER;2024-04-20T08:09:36
6;membre titulaire fonctionnaire de peur que;Clément;Sanchez;gens camarade;2024-04-20T05:34:37;CORPORATION;PASSPORT;candide;d’autant que permettre pour;maintenant chef de cuisine;ah;suffisamment ha;à l'insu de dériver;à raison de arrière charitable;true;ADMIN;2024-04-19T11:54:05
7;reparaître durant;Euphrasie;Jean;si bien que admirablement;2024-04-19T17:06:16;CORPORATION;PASSPORT;recruter;raide contribuer au-delà;hi;à seule fin de après;dynamique tant que insipide;extrêmement conformer pourvu que;direction entourer badaboum;false;ADMIN;2024-04-20T05:35:07
8;coin-coin ah;Séraphin;Da silva;gens;2024-04-19T10:50:37;CORPORATION;PASSPORT;souple;touchant plic;concurrence lâche;hebdomadaire;main-d’œuvre;outre membre du personnel afin que;plouf loger grâce à;false;COMMERCANT;2024-04-19T13:47:16
9;en dehors de jeune;Adrastée;Roche;touriste violer;2024-04-20T04:23:06;PHYSICAL_PERSON;CIN;horrible lâche du fait que;fourbe loin de;organiser lorsque;à l'entour de également contre;adapter sonner;tandis que;membre à vie chez alors;true;COMMERCANT;2024-04-19T15:14:47
10;souple allumer;Patrice;Deschamps;paf;2024-04-20T04:22:03;PHYSICAL_PERSON;PASSPORT;obtenir patientèle;divinement vivace;éclairer glouglou gai;bien retentir à partir de;infime perfectionner;tordre miaou;coin-coin toc-toc;false;COMMERCANT;2024-04-19T22:56:18
